id,user_id,role,created_at
6dd35882-79da-43ee-a8c9-b8d95f15003e,20016dbd-9aaa-47eb-a978-91d82c8e95aa,user,2025-10-04 11:28:59.873945+00
ebcddd17-4d56-44ea-9b96-e004d64a560f,9d291f14-093d-4356-a5c7-075813ca47ae,admin,2025-10-04 20:00:31.977862+00
5d07c71f-944b-4e6c-95d3-a8df8d8de114,63707620-c4c0-4bb0-bd4b-b48331aff0d3,user,2025-10-04 20:13:24.676776+00
8021915d-0fc4-4dd7-a6e5-ea5a41b2bfdb,ba4a6c0d-bd90-41e3-922e-dfdaea86e2fe,user,2025-10-05 06:48:14.441001+00
626af510-c0c2-4ab5-a2c9-5cdc7feca5a2,6b602d09-b90b-48f3-aebd-38772baee4b4,helpdesk,2025-10-05 07:11:18.376584+00
e2460ad1-1bed-4410-915e-27ea5476c3f1,9d291f14-093d-4356-a5c7-075813ca47ae,helpdesk,2025-10-05 07:11:35.868104+00
61336c7d-72da-4452-b960-4a3569dd04d9,7a265c0c-33b0-4a1e-af16-207b6b72eff8,helpdesk,2025-10-06 09:26:27.346511+00
5a90f2f9-605b-4dee-b84d-798054c2f2a5,95e616b0-ebf2-483f-8bd9-c4ab9fcaa03c,user,2025-10-06 09:43:54.398279+00
c0720ac1-f0bf-44fc-8d42-0c9b386c8dba,db5d20aa-8a6f-4806-8df4-5f9f54a60c2c,user,2025-10-06 10:00:13.566987+00
94e2cc2a-5a6d-4e23-92b4-4e72f1d9463b,85d91fbf-a7d2-48e0-875f-31129e3f77ad,user,2025-10-06 11:54:23.036634+00
d70efd74-7994-41cb-bc32-4a36dc60b829,85d91fbf-a7d2-48e0-875f-31129e3f77ad,manager,2025-10-06 11:56:10.571347+00
0270c9e8-b6fd-4039-b387-c9e50eb98648,95e616b0-ebf2-483f-8bd9-c4ab9fcaa03c,manager,2025-10-06 11:56:24.592508+00
66131251-f3a8-40f9-8703-5c5448cf26d3,95e616b0-ebf2-483f-8bd9-c4ab9fcaa03c,hr,2025-10-06 12:12:52.795634+00
6ab8445f-8227-499d-a107-0f6447c5f1d9,7a265c0c-33b0-4a1e-af16-207b6b72eff8,admin,2025-10-06 12:19:33.092881+00
2718a1a9-d67f-4dc7-a9f5-760926434cd5,7b5b7a80-3ba3-4025-b68d-b9288409292e,user,2025-10-06 12:53:09.989746+00
0e70b1c9-5c61-4b5c-b33c-55762ce07bf3,6fa1de90-3572-4dc1-9f6b-2ee314e02d19,user,2025-10-07 11:53:32.563671+00